,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coastal Carolina,33,16,17,.485,-0.83,-0.31,,8,12,,9,9,,7,7,,2573,2518,,74.0,105.4,.345,.354,.545,54.1,48.7,10.2,8.7,.510,18.3,35.9,.247
62,Colgate,34,25,9,.735,1.47,-5.63,,14,4,,15,2,,9,7,,2588,2315,,68.8,110.3,.246,.460,.557,51.0,52.7,8.8,7.9,.531,13.7,28.0,.184
63,College of Charleston,31,17,14,.548,0.53,-0.84,,11,7,,10,5,,6,6,,2176,2109,,66.9,105.0,.328,.398,.548,47.4,44.6,10.0,7.2,.509,14.4,22.9,.250
64,Colorado State,32,20,12,.625,6.70,3.96,,11,7,,12,4,,5,6,,2417,2307,,69.7,106.8,.390,.393,.569,52.0,59.1,9.2,5.8,.541,16.4,26.5,.265
65,Colorado,32,21,11,.656,14.91,8.31,,10,8,,13,3,,4,7,,2268,2057,,68.2,103.2,.362,.386,.544,53.9,54.3,8.3,7.9,.505,16.8,30.2,.266
66,Columbia,30,6,24,.200,-10.19,-2.50,,1,13,,5,7,,0,16,,1988,2181,,69.6,94.0,.224,.369,.494,47.1,44.1,7.8,8.4,.465,14.3,20.4,.164
67,Connecticut,31,19,12,.613,11.15,5.34,,10,8,,14,3,,3,7,,2258,2078,,69.0,102.3,.346,.358,.521,51.9,51.2,10.0,15.0,.478,16.8,34.1,.257
68,Coppin State,31,11,20,.355,-14.36,-8.27,,7,9,,5,5,,6,15,,2109,2298,,74.4,90.7,.327,.470,.487,47.4,42.8,9.0,8.1,.459,17.1,23.4,.208
69,Cornell,27,7,20,.259,-8.37,-1.85,,4,10,,6,6,,1,14,,1818,1912,,66.2,100.3,.269,.393,.531,47.8,56.8,10.0,8.5,.504,15.4,24.8,.188
70,Creighton,31,24,7,.774,17.24,9.61,,13,5,,17,1,,6,5,,2428,2162,,70.0,111.5,.290,.426,.580,48.5,56.5,9.3,6.6,.553,13.9,23.6,.214
